,2022,2023,2024,2025,2026,2027,2028,media
Ene,43.10806840827915,33.26594970354043,22.642399754456623,84.48390741759047,91.1326530187964,21.237630882189983,5.377404634166815,43.03543054557427
Feb,65.05725463753355,73.9922871027369,15.390695647309549,15.508914037307719,64.23789948875803,68.41647674210228,7.848612036905589,44.35030567037909
Mar,94.02849713599203,9.754482103351958,82.56756075276594,13.583719277609173,42.59089698550211,11.936170276488056,1.3072078285813138,36.53836205147008
Abr,48.074833526845154,76.47403170090054,1.352748200923437,28.12727128029109,35.8114196538976,34.939977508951245,2.402934632131115,32.45474521484859
May,56.96677612640024,19.75725946174396,85.7903877767389,72.37427296707378,3.7115755399335204,92.87669288618895,33.03210769222312,52.072724635757496
Jun,75.29601774341577,31.13619672231378,21.94606778475665,84.60892566791694,72.41875743054196,23.43000502420859,64.93663479740607,53.39608645293712
Jul,20.806881885874063,91.96099541427307,93.453525764665,12.634365431161266,56.96499018360501,98.47110136839451,17.75371904090697,56.006511298411404
Ago,52.255144022134616,83.06603705869027,39.84120071805284,89.2146329247498,88.72852453697887,69.91281138433882,62.95541883452713,69.4248242113532
Sep,22.029106455628444,19.45184413497083,42.843327360263174,70.52643649526225,95.20914985917848,68.24850908755836,77.95097505416854,56.608478349575726
Oct,44.414334029441434,96.52046439057159,15.225271407832231,10.175579761159758,36.89204897716517,56.96986457465728,73.03107575695566,47.60409127111187
Nov,4.870129485430185,80.33808312304409,10.004565147194445,94.90718983494413,1.758829394117778,58.35981692731891,61.57627303850954,44.544983850079866
Dec,88.0074886992184,74.02999057783919,40.38545828323724,78.43607710571577,42.15860581049854,48.288664442808106,24.211583112803524,56.50255257601725
